일자,검색어,제목,출처,URL
2016-7-7,Max Planck Society,Postdoctoral astronomers Rachael Beaton and Eduardo Bañados receive prestigious awards,EurekAlert (press release),"=HYPERLINK(""http://www.eurekalert.org/pub_releases/2016-07/cifs-par070616.php"")"
2016-7-7,Pew Research Center,How the public views the secret to America's success,Pew Research Center,"=HYPERLINK(""http://www.pewresearch.org/fact-tank/2016/07/01/americas-success/"")"
2016-7-7,Pew Research Center,Electorally competitive counties have grown scarcer in recent decades,Pew Research Center,"=HYPERLINK(""http://www.pewresearch.org/fact-tank/2016/06/30/electorally-competitive-counties-have-grown-scarcer-in-recent-decades/"")"
2016-7-7,Pew Research Center,Support for NATO is widespread among member nations,Pew Research Center,"=HYPERLINK(""http://www.pewresearch.org/fact-tank/2016/07/06/support-for-nato-is-widespread-among-member-nations/"")"
2016-7-7,Pew Research Center,Sharing and on-demand services attract a small but active group of 'super users',Pew Research Center,"=HYPERLINK(""http://www.pewresearch.org/fact-tank/2016/06/30/sharing-and-on-demand-services-attract-a-small-but-active-group-of-super-users/"")"
2016-7-7,Pew Research Center,"Half of Millennial Latinos Say They Experienced Racial Discrimination, Pew Research Center Finds",Latin Post,"=HYPERLINK(""http://www.latinpost.com/articles/122013/20160706/half-of-millennial-latinos-say-they-experienced-racial-discrimination-pew-research-center-finds.htm"")"
2016-7-7,Pew Research Center,5 facts about America's political independents,Pew Research Center,"=HYPERLINK(""http://www.pewresearch.org/fact-tank/2016/07/05/5-facts-about-americas-political-independents/"")"
2016-7-7,Pew Research Center,Report: Black And White Americans Are 'Worlds Apart' On Views Of Race,NPR,"=HYPERLINK(""http://www.npr.org/sections/codeswitch/2016/06/30/483861826/study-black-and-white-americans-are-worlds-apart-on-views-of-race"")"
2016-7-7,Pew Research Center,Hispanic Male Workers Earning Fraction of What White Counterparts Paid Pew Research Study ...,Latin Post,"=HYPERLINK(""http://www.latinpost.com/articles/122014/20160706/hispanic-male-workers-earning-fraction-of-what-white-counterparts-paid-pew-research-study-finds.htm"")"
2016-7-7,Pew Research Center,How 'American' Are You?,TIME,"=HYPERLINK(""http://time.com/4388028/july-4th-american-quiz/"")"
2016-7-7,Pew Research Center,The group that seriously outearns white men,Washington Post,"=HYPERLINK(""https://www.washingtonpost.com/news/wonk/wp/2016/07/01/the-group-that-seriously-out-earns-white-men/"")"
2016-7-7,Urban Institute,Catastrophic Insurance Could Help With Long-Term Care Expenses: Studies,Kaiser Health News,"=HYPERLINK(""http://khn.org/news/catastrophic-insurance-could-help-with-long-term-care-expenses-studies/"")"
2016-7-7,National Institute of Standards and Technology OR (intitle:NIST),"Realizing the potential of 3D printing. Interview with Shawn Moylan, NIST",3D Printing Industry,"=HYPERLINK(""http://3dprintingindustry.com/news/realizing-potential-3d-printing-interview-shawn-moylan-nist-83712/"")"
2016-7-7,National Institute of Standards and Technology OR (intitle:NIST),Addressing NIST and DOD Requirements for Mobile Device Management (MDM),CSO Online,"=HYPERLINK(""http://resources.csoonline.com/ccd/assets/113514/detail"")"
2016-7-7,National Institute of Standards and Technology OR (intitle:NIST),Quantum physics meets IT security,TechRepublic,"=HYPERLINK(""http://www.techrepublic.com/article/quantum-physics-meets-it-security/"")"
2016-7-7,National Institute of Standards and Technology OR (intitle:NIST),Staffing: The Most Critical Factor of Fireground Tactics,FireEngineering.com,"=HYPERLINK(""http://www.fireengineering.com/articles/2016/07/staffing-the-most-critical-factor-of-fireground-tactics.html"")"
2016-7-7,National Institute of Standards and Technology OR (intitle:NIST),How Unvalidated Encryption Threatens Patient Data Security,HealthITSecurity.com,"=HYPERLINK(""http://healthitsecurity.com/news/how-unvalidated-encryption-threatens-patient-data-security"")"
2016-7-8,Global competitiveness,SlimTraders prepares hospitality industry for global competitiveness,TheCable,"=HYPERLINK(""https://www.thecable.ng/slimtraders-prepares-hospitality-industry-for-global-competitiveness"")"
2016-7-8,Global competitiveness,Filipino banana industry strives to maintain global competitiveness,FreshPlaza,"=HYPERLINK(""http://www.freshplaza.com/article/159928/Filipino-banana-industry-strives-to-maintain-global-competitiveness"")"
2016-7-8,Global competitiveness,"Banana growers, exporters seek support to maintain global competitiveness",BusinessWorld Online Edition,"=HYPERLINK(""http://www.bworldonline.com/content.php?section=Economy&title=banana-growers-exporters-seek-support-to-maintain-global-competitiveness&id=129592"")"
2016-7-8,Global competitiveness,Embrace 'Disruptive Technology' to Leverage Global Competitiveness: Expert,Jakarta Globe,"=HYPERLINK(""http://jakartaglobe.beritasatu.com/economy/disruptive-technology-for-indonesias-small-enterprises-to-win-global-competition/"")"
2016-7-8,Global competitiveness,Quality Based Pork Grading System Offers Potential to Improve Canada's Global Competitiveness,Farmscape Online,"=HYPERLINK(""http://www.farmscape.com/f2ShowScript.aspx?i=25566&q=Quality%2BBased%2BPork%2BGrading%2BSystem%2BOffers%2BPotential%2Bto%2BImprove%2BCanada's%2BGlobal%2BCompetitiveness"")"
2016-7-8,Global competitiveness,"Philippines slides in competitiveness of ports, logistics businesses",Philippine Star,"=HYPERLINK(""http://www.philstar.com/business/2016/07/04/1599202/philippines-slides-competitiveness-ports-logistics-businesses"")"
2016-7-8,Global competitiveness,Digitisation is the key to India's competitiveness,Times of India (blog),"=HYPERLINK(""http://blogs.economictimes.indiatimes.com/et-commentary/digitisation-is-the-key-to-indias-competitiveness/"")"
2016-7-8,Global competitiveness,(EDITORIAL from The Korea Times on June 29),Yonhap News,"=HYPERLINK(""http://english.yonhapnews.co.kr/news/2016/06/29/0200000000AEN20160629000800320.html"")"
2016-7-8,Global competitiveness,"Economic performance, return of global respect cited as Noy accomplishments",Philippine Star,"=HYPERLINK(""http://www.philstar.com/headlines/2016/06/28/1597375/economic-performance-return-global-respect-cited-noy-accomplishments"")"
2016-7-8,Global competitiveness,"China Focus: China firms rise on global stage on innovation, acquisition",Shanghai Daily (subscription),"=HYPERLINK(""http://www.shanghaidaily.com/article/article_xinhua.aspx?id=330591"")"
